"value","value_hex","access_rights_type","meaning"
"PROCESS_ALL_ACCESS","0x1fffff","process-specific","All possible access rights for a process object."
"PROCESS_CREATE_PROCESS","0x0080","process-specific","Required to create a process."
"PROCESS_CREATE_THREAD","0x0002","process-specific","Required to create a thread."
"PROCESS_DUP_HANDLE","0x0040","process-specific","Required to duplicate a handle using DuplicateHandle."
"PROCESS_QUERY_INFORMATION","0x0400","process-specific","Required to retrieve certain information about a process, such as its token, exit code, and priority class (see OpenProcessToken). A handle that has the PROCESS_QUERY_INFORMATION access right is automatically granted PROCESS_QUERY_LIMITED_INFORMATION."
"PROCESS_QUERY_LIMITED_INFORMATION","0x1000","process-specific","Required to retrieve certain information about a process (see GetExitCodeProcess, GetPriorityClass, IsProcessInJob, QueryFullProcessImageName). A handle that has the PROCESS_QUERY_INFORMATION access right is automatically granted PROCESS_QUERY_LIMITED_INFORMATION. Windows Server 2003 and Windows XP: This access right is not supported."
"PROCESS_SET_INFORMATION","0x0200","process-specific","Required to set certain information about a process, such as its priority class (see SetPriorityClass)."
"PROCESS_SET_QUOTA","0x0100","process-specific","Required to set memory limits using SetProcessWorkingSetSize."
"PROCESS_SUSPEND_RESUME","0x0800","process-specific","Required to suspend or resume a process."
"PROCESS_TERMINATE","0x0001","process-specific","Required to terminate a process using TerminateProcess."
"PROCESS_VM_OPERATION","0x0008","process-specific","Required to perform an operation on the address space of a process (see VirtualProtectEx and WriteProcessMemory)."
"PROCESS_VM_READ","0x0010","process-specific","Required to read memory in a process using ReadProcessMemory."
"PROCESS_VM_WRITE","0x0020","process-specific","Required to write to memory in a process using WriteProcessMemory."
"SYNCHRONIZE","0x00100000L","process-specific","Required to wait for the process to terminate using the wait functions."
